client,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Graves Inc,,,,,,,10000000.0,,,,,7377622.984251859,9064866.062094746,1491716.6864664631,10000000.0,,,,,10000000.0,10000000.0,,,,,
Green-Smith,,,,,,,,,5964605.38972697,5778923.210484476,10000000.0,10000000.0,5789241.347776512,,,,,,,,,,,10000000.0,10000000.0,
Gross-Weiss,,,,10000000.0,10000000.0,5413583.655577148,10000000.0,10000000.0,5365286.443557431,10000000.0,,,,,,,,,,,,,,,10000000.0,
Hall LLC,,,6179260.007776883,,,,,,,10000000.0,6826638.7789015705,10000000.0,10000000.0,9335519.144161923,,,,,,,,,,,,
Hall and Sons,,1993845.8568318626,10000000.0,,,,,,,,10000000.0,10000000.0,10000000.0,10000000.0,7404437.235815719,,,,,,,,,,,
"Hall, Rogers and Whitney",,,,,,,,,,,,,,4038121.9241791354,7731431.493115032,8823456.856318869,8874921.514668634,9191558.387460807,3827375.3896820555,7367684.237319969,,,,,,
"Harris, Barker and Anderson",,,,,,10000000.0,,,,,,,,,,,,,,,,10000000.0,10000000.0,7467015.335786943,10000000.0,
"Hawkins, Delgado and Perez",,,,9336080.070126416,,,214850.5640146874,,,6571119.293266096,2730599.2462670226,,,,,,3057635.6089993063,6575714.852575005,10000000.0,3402693.0898812125,6174981.720161483,,,,,
Herrera-Martinez,,,,,,,,,,,,,,,,,10000000.0,1785861.5184407963,1946144.4557336483,,,,,,,
Hill-Young,,,,,,,,,,8624566.472248284,7500854.795297261,10000000.0,,,,,,,,,,10000000.0,10000000.0,9819771.604365984,10000000.0,10000000.0
Hubbard-Conner,,,5673926.088011014,,,,1250379.6551328616,7274136.590975007,6824567.056070757,10000000.0,,,,,,,,10000000.0,1693439.0135564033,8734807.364199465,7410042.299381576,2856176.51363608,6003405.807484494,10000000.0,,
Hubbard-Weeks,,,9605580.531786557,,,,10000000.0,,3228617.4242080175,,,7907369.889095963,,,,,,,,,4930606.4846144,9372204.034613192,10000000.0,10000000.0,,
Hughes-Baldwin,,,,,,,,,,,,9790179.035120573,,,,,,,,,,,,,,
Hughes-Evans,,,,,,,,,,,,10000000.0,10000000.0,,,,,,,,,,,,,
Hunter Group,,,,,,,,,,,,,3247811.272391912,10000000.0,10000000.0,,,,,,,,,,,
"Jenkins, Newton and Mccall",,,,,,10000000.0,3720858.182680806,4796436.514626428,,10000000.0,10000000.0,6811059.683135677,,,,,,2095068.516332436,,,,,,,,
"Jennings, Osborn and Lopez",,,6674645.737479224,5980929.26425682,3688642.43118761,10000000.0,10000000.0,,,,,,10000000.0,,,,,,1584951.3266557928,10000000.0,,,,,,
Johnson Inc,,,,5867533.324142804,10000000.0,,,10000000.0,3679838.0036043166,,,,,,,,,9905894.425704852,3537580.7489331355,7858078.858008758,10000000.0,,,,3667803.363386488,
Johnson PLC,,,1841637.0906810497,,,6555953.62459629,8349683.962079545,8308060.379277018,8474387.469714487,10000000.0,,,,,,5527086.285450451,,10000000.0,,,,,,,,
"Johnson, Robertson and Pugh",,,,3767518.3916795575,,,,10000000.0,50000.0,3670160.926160953,3014958.4535853816,,,,,,,,,485403.27611378377,5408526.704763836,10000000.0,4983022.762670118,5098939.648440549,,
Jones Ltd,3866198.976348574,9701289.554681178,3858406.4548367076,6592153.708571883,2439854.471841131,,2370731.3943990627,7990723.86831799,,,,,,,,10000000.0,5693218.854457982,,,10000000.0,,,,,10000000.0,
"Jones, Jennings and Blanchard",,,,,,,,,,,,,,,,,,,,,,3998488.377723399,10000000.0,4781285.36929604,10000000.0,
Jones-Bell,,,,,,,,,,,,,,,,,,6773117.944187303,1539262.1759884343,,,,,,,
Jordan-George,,,,,,,10000000.0,9295417.644930942,,,,,,,,,,,,,,,,,,
Kim-Davis,,,,7502817.565948354,10000000.0,10000000.0,,,,,,,,,,,,,,,,,,,,
"Klein, Hopkins and Anderson",,,,,,,,,,6196233.695301723,,,,,,,,,,,,,,,,
"Lee, Brown and Santos",,,,9856736.808818825,6122733.719231791,7402231.167278057,7047708.6192254,10000000.0,50000.0,,,,,,,,,,,,,,,,,
"Lewis, Martin and Gomez",9970243.225970475,,,5121753.834654973,727277.860731016,,,,,,,,10000000.0,7751122.262948553,,,,,,,,,,,7770049.360609828,9174498.233279938
Lewis-Bruce,,,,,,,,6712624.912048768,2049106.1479188816,,,7398692.017084452,4284110.879800213,10000000.0,3000402.282996313,,,,585924.0507827795,3510537.055870626,,,,,,
Long-Harrison,,,,,,,,,,,,,634006.8576322822,,,,,,,,10000000.0,,,,,
"Love, Snyder and Murray",,,,,,,,,,,,,,,9001722.24016788,10000000.0,3740307.06165763,8239016.133629273,9106826.294350894,,,,,,,
Lucas PLC,,,,,,,,2045949.2446893847,3616603.0868374626,7018465.74749137,9019833.368335573,10000000.0,,,,10000000.0,10000000.0,4132790.935697634,2855698.593220168,,,,,,,
Lynch LLC,,,4091484.1820517397,,,,,8693354.748364178,8702087.26233309,10000000.0,,,,,,,,,,,,,4999957.796722937,10000000.0,10000000.0,
"Lynn, Miles and Rhodes",,,7500884.528406761,,,,,,,,,,,,,,,,,,,,,,,
"Martin, Brooks and Rogers",,,,,,,,,,,,,,,,,,,,,,,,10000000.0,,
"May, Blackwell and Torres",,,,,,,10000000.0,,2567102.840053215,5545171.005956719,5990275.207461379,7946086.117647683,,,,3397930.020792604,,,10000000.0,5673488.513602422,10000000.0,10000000.0,,,,
Maynard-Mcgrath,10000000.0,10000000.0,,,,,,,5353478.335555057,9241199.011964925,1045349.7155754656,,,,,10000000.0,10000000.0,,,,,,,,,
Mcclure and Sons,,,10000000.0,5408098.904825428,,,,,,,,,,,10000000.0,,,,2406268.868559969,10000000.0,10000000.0,6902509.740779018,,,,
"Miller, Russell and Gonzalez",,,,,,,7386162.051798131,466686.76929236995,10000000.0,6407741.583988401,6934989.54851555,10000000.0,10000000.0,10000000.0,,,,,6423261.970070665,,,,,,,
Montgomery-Jenkins,,,10000000.0,,,,,,,,,,,,,,,,3613165.5260149087,,,10000000.0,8586996.741730088,1941250.9882271788,10000000.0,
Moore-Mayer,,,,,,,,,10000000.0,,,1888954.814929342,3065603.043676218,9270951.17513136,,,,,,,,,,,,
"Murray, Olson and Hawkins",,,,5013464.8140792735,7980218.5113072805,,,,,,,,,4921932.593808787,,,,,8132038.672307739,10000000.0,7272537.5359068485,10000000.0,10000000.0,,,
"Newman, Farrell and Ford",,,,,10000000.0,10000000.0,2193889.241207052,6781907.023303837,,,,,,,,,,,,,,10000000.0,10000000.0,,,
Oneal-Franco,,,,,,,8200583.826631832,,,,,,,,,,,10000000.0,10000000.0,10000000.0,10000000.0,8267170.434368013,,,,
Oneal-Harris,,,,,,,,,,,,,,,1748983.3717781084,,,10000000.0,8091324.804882165,,,,,,,
Pearson-Henry,,4284640.67347056,,,,,,,7846314.554796914,5745337.785962444,10000000.0,10000000.0,,,,,,,,,4721749.793618755,5066626.490238327,5213617.238958348,,,
"Perkins, Spears and Trevino",,,,10000000.0,10000000.0,,,,,9168422.030015102,,,,,,,,,,,,,10000000.0,10000000.0,6910213.210785811,9739101.855939444
Peterson PLC,,,,,,,,,,,,,,,,,,,,,,10000000.0,,,,
"Peterson, Rodriguez and Brown",,,,,,,,,,,,,,6944524.686037228,,10000000.0,,,,,,6338978.103040276,2949139.6364185275,10000000.0,10000000.0,9077350.05695813
Peterson-Shepard,10000000.0,10000000.0,7278331.165925699,10000000.0,10000000.0,,,,,,,,,10000000.0,,,,,,,,,,,,
Petty-Ross,,,,,,5484292.245257627,1053937.484445803,,,,,,,,,,,,,,10000000.0,8272362.47377377,,,,
Pineda and Sons,,,,,,10000000.0,2680345.8779699784,10000000.0,10000000.0,,,,,,,6830971.493789431,6951210.493927111,,,,4241890.67527669,10000000.0,10000000.0,3626749.378219752,10000000.0,
Ramos PLC,,,,8622695.920159014,10000000.0,,,,,,,,,,,,10000000.0,10000000.0,,,,,,,,
"Reynolds, Greene and Hernandez",,,,,,,,,,,,3115475.416468055,10000000.0,10000000.0,4484841.0732053425,,,6911172.704237319,10000000.0,,,,,10000000.0,3120748.180740844,10000000.0
Robinson Group,,4894709.362648155,10000000.0,3375875.457743698,10000000.0,,,,,,,,,,,,,,,,,3238306.9154948704,,,,
Rodriguez-Cruz,,,,,,,,,,,,,,9153528.861491805,,,,,,,,,,,,
Ruiz-Calhoun,,10000000.0,,,5069359.710342952,10000000.0,10000000.0,10000000.0,3948205.955706938,,,,,,3143438.951246262,8396028.844567738,,,,,,,10000000.0,10000000.0,2177179.982864008,
Schmidt PLC,,10000000.0,7041691.90867315,3672258.927352746,5186789.851890221,7355843.503293713,,,,,8689419.045386842,7085324.776083137,1302469.6830317264,9029654.504900454,10000000.0,,,,,,,,,,1634150.531231725,10000000.0
"Schroeder, Moore and Valdez",,,5412288.531093971,4201885.074259971,1047583.1291354392,10000000.0,9539567.116793858,4483846.331667155,,,10000000.0,7345802.6560089085,10000000.0,,,,,,,,,,,6202099.171430474,10000000.0,
"Shaw, David and Pace",,,,,,,,,10000000.0,3552914.5934176845,1622660.4368026278,6552263.963807301,4835759.627926263,,,,,,,,,,,4669553.285045638,2631059.46299306,5195344.39991691
"Simpson, Scott and Cunningham",,,,,,,,,,,,,8583365.439015673,,,6309852.558920217,10000000.0,10000000.0,10000000.0,,,,10000000.0,,,
"Sims, Bowers and Jackson",,,,,,,,,,10000000.0,9210992.587650927,6898189.019635087,,,,,,10000000.0,10000000.0,10000000.0,4122408.7472329894,,,10000000.0,3460574.007991157,
Smith Inc,,,3157270.03626663,7417997.212342516,461807.07014924387,6564304.415037531,,,,,,,,,,,,,,,,,,,,
Smith-Knox,,9119426.946390579,10000000.0,10000000.0,10000000.0,,,,,,,,,,,,,,,,,,,,,
Spencer-Wood,,,,,,,,,,,,,,,,,,,,,10000000.0,3031548.13577388,7799584.628383886,10000000.0,10000000.0,
"Stafford, Smith and Cochran",,,,,10000000.0,,,,,,,,,,,10000000.0,,,,,,,,,,
Tate and Sons,,,,,,,,,2634251.1682428545,9757916.66426446,,,10000000.0,967047.9962024958,9785138.82938525,9807679.50576027,,5609845.060285966,,,,4427784.1154737575,3376444.7889668224,10000000.0,8042725.532339357,3155927.819180562
"Taylor, Rodriguez and Hebert",,,,,,,,,,,,,,,,,10000000.0,,,,,,,,,
Taylor-Knight,,,,,,,,,,,,,,,,,,,,,,10000000.0,8005762.547511329,10000000.0,,
"Terry, Lopez and Torres",,,,,,,,,,,,,,,6987758.1700052805,,,9279704.505983332,6164382.985754532,,,,,,,
"Thomas, Thomas and Khan",,,,7277159.292307586,7469178.028094324,8065203.279681177,3502924.736080612,10000000.0,,,,,,,,,,,,,,,,,,
Thomas-Brown,,10000000.0,,,,,,10000000.0,10000000.0,10000000.0,3985978.1950173974,9889328.542351896,,8114302.900345343,6816360.112960586,,,,,,,,,,,
"Torres, Allen and Bradley",,,,7542058.426184902,,,,,,,,,,,,,,,,2041528.3948899198,8682844.144986773,6999319.134137786,10000000.0,,,
Torres-Fitzgerald,,2741026.937057735,2269264.2792681134,10000000.0,,,,,,,,,,,,,,,,,,,,,,
Trevino-Lynn,,,,6727935.04867334,,,,,,,,,,,,,,,,,,,,,,
Turner LLC,,,,,,10000000.0,10000000.0,,,10000000.0,,,10000000.0,,,,,10000000.0,,,9551396.618493892,7391957.758722821,10000000.0,7526259.922260598,10000000.0,10000000.0
"Turner, Wilson and Mayer",3520589.8309353893,3302617.1634689197,8558552.726091212,,,,,,,,,,,,,5814675.673699126,,,,,,,,,,
"Vega, Martinez and Calhoun",,,,,,,,,,,,,7037780.491873306,6932185.932323576,7335055.760837169,6295282.40521138,,,,,7913495.282192786,4615228.739561451,,,,
Vega-Kaufman,10000000.0,10000000.0,1884014.2465281116,4623632.225801292,3401405.1457870486,,,,,,,,,,,,10000000.0,,5334758.776107597,,,,,,,
Waters and Sons,,,,,,,,,,,,,,,,,,6672270.33202841,2551342.9447880546,10000000.0,10000000.0,3224969.686925644,,,,9284569.938809676
Willis-Gomez,,,,,9349269.027686462,5738537.650326517,,,,6399812.490426035,9436933.227279628,6237107.309994158,9865582.035925888,10000000.0,,,,,,,,,,,,
Wilson Inc,,,,10000000.0,5278281.472691455,5297597.615922177,10000000.0,10000000.0,,,,,,,,,,,,,,,,,,
Wood and Sons,,,,7217176.5160657065,10000000.0,4396463.891522077,6170360.978133316,8207672.1880660625,,,,,,,,,,,,,,,,,,
"Wright, Benjamin and Flores",,,10000000.0,10000000.0,,,,,,,,,,,,,,,,,,,,,,
Young Group,,,,,3599470.4454174642,8395012.613579284,8537169.093562461,10000000.0,50000.0,,,,,,,,,8908117.348118288,7015885.099544215,10000000.0,,10000000.0,10000000.0,6812810.225581891,3943161.444228834,
"Young, Joseph and Lawson",1600048.089769346,8791782.022588974,2565346.6689601447,10000000.0,1571230.3876952482,,,,,,6214924.546206315,,,,,,,,,,,,4295072.858794229,9864769.16156973,5292629.7774418425,
"Young, Ramos and Singh",,,,,,,,,328607.15333260794,,,,,,,,,,8483498.047643598,10000000.0,7521307.124984775,10000000.0,7053190.799609728,10000000.0,7261601.869538247,
Zimmerman Group,,,,,,,551474.6380072085,403553.1431428915,91234.77183984284,4683658.964905148,,,,,,,,,,,,,,,,
